ID,Category,Intent,Canonical_question,Keywords,Response,Language
KB_001,Course,course_syllabus_en,What is the course syllabus structure details?,"course, syllabus, structure","The course syllabus structure includes core subjects, electives, practical sessions, and project work. It is available on the official academic portal.",English
KB_002,Course,course_subjects_en,How many subjects are included course semester?,"course, subjects, semester",Each semester typically includes 5 to 7 subjects depending on the course curriculum.,English
KB_003,Course,course_duration_en,What is course duration total years?,"course, duration",The total course duration is generally 3 to 4 years based on the program type.,English
KB_004,Course,course_recognition_en,Is this course approved university recognition?,"approve, university, recognition","Yes, the course is approved and recognized by the affiliated university and relevant authorities.",English
KB_005,Course,course_eligibility_en,What are course eligibility criteria requirements?,"course, eligibility, criteria, requirement",Eligibility criteria usually include minimum educational qualifications and required entrance or merit conditions.,English
KB_006,Course,course_internship_en,Does course include internship training program?,"course, internship, training, program","Yes, the course includes internship or training programs in selected semesters.",English
KB_007,Course,course_learning_outcomes_en,What are course learning outcomes expected?,"course, learning, outcomes","The course learning outcomes include theoretical knowledge, practical skills, and industry-relevant expertise.",English
KB_008,Course,download_curriculum_en,How to download course curriculum PDF?,"course, syllabus, curriculum, PDF, download",You can download the course curriculum PDF from the official website or student portal.,English
KB_009,Course,course_delivery_mode_en,Is course available online offline mode?,"course, available, online, offline",The course may be available in both online and offline modes depending on the institution.,English
KB_010,Course,course_specializations_en,What is course specialization options available?,"course, specialization, option",The course offers specialization options based on subjects or industry domains.,English
KB_011,Course,course_credits_en,How many credits required course completion?,"course, credits, completion, points",Students must complete the required number of credits as defined in the curriculum for course completion.,English
KB_012,Course,course_admission_process_en,What is course admission process steps?,"course, admission, process, steps","The admission process includes application submission, document verification, and final confirmation.",English
KB_013,Course,course_electives_en,Are there elective subjects course structure?,"course, elective, subjects, structure","Yes, elective subjects are included in the course structure to provide flexibility.",English
KB_014,Course,course_fee_structure_en,What is course fee structure details?,"course, fee, structure, payment","The course fee structure includes tuition fees, exam fees, and other applicable charges. Check the fee portal for exact amounts.",English
