Student_Query,Target_Intent
What is the course syllabus structure details?,course_syllabus_en
tell me the syllabus,course_syllabus_en
where can I find the syllabus,course_syllabus_en
tell me the course structure,course_syllabus_en
what are the subjects in this course,course_syllabus_en
syllabus details please,course_syllabus_en
How many subjects are included course semester?,course_subjects_en
subjects per sem,course_subjects_en
how many papers do we have,course_subjects_en
list the subjects for this year,course_subjects_en
what modules will i study,course_subjects_en
how many courses per semester,course_subjects_en
What is course duration total years?,course_duration_en
how long is the course,course_duration_en
total duration of the degree,course_duration_en
how many years will this take,course_duration_en
what is the timeline for the program,course_duration_en
duration of the studies,course_duration_en
Is this course approved university recognition?,course_recognition_en
is it university approved,course_recognition_en
is this degree recognized,course_recognition_en
does this have UGC approval,course_recognition_en
is the program accredited by the govt,course_recognition_en
will my degree be valid outside,course_recognition_en
What are course eligibility criteria requirements?,course_eligibility_en
eligibility for admission,course_eligibility_en
who is eligible for this course,course_eligibility_en
can I apply for this course,course_eligibility_en
what are the requirements to join,course_eligibility_en
minimum marks needed for admission,course_eligibility_en
Does course include internship training program?,course_internship_en
any internships provided,course_internship_en
is internship compulsory,course_internship_en
do we get industrial training,course_internship_en
will the college give us internships,course_internship_en
is there a practical work placement,course_internship_en
What are course learning outcomes expected?,course_learning_outcomes_en
what will i learn,course_learning_outcomes_en
skills gained from this degree,course_learning_outcomes_en
what is the takeaway from this program,course_learning_outcomes_en
learning objectives of the course,course_learning_outcomes_en
How to download course curriculum PDF?,download_curriculum_en
download syllabus pdf,download_curriculum_en
where to get the pdf of the subjects,download_curriculum_en
can i download the course structure,download_curriculum_en
link to the curriculum pdf,download_curriculum_en
i want a copy of the syllabus,download_curriculum_en
Is course available online offline mode?,course_delivery_mode_en
is there online classes,course_delivery_mode_en
can i study this remotely,course_delivery_mode_en
is it a regular offline class,course_delivery_mode_en
what is the mode of teaching,course_delivery_mode_en
do i have to come to campus daily,course_delivery_mode_en
What is course specialization options available?,course_specializations_en
what specializations do u offer,course_specializations_en
can i choose my major,course_specializations_en
list of available electives and majors,course_specializations_en
which streams are available to pick,course_specializations_en
How many credits required course completion?,course_credits_en
total credits to pass,course_credits_en
what is the credit limit,course_credits_en
how many points to graduate,course_credits_en
minimum credits for degree,course_credits_en
What is course admission process steps?,course_admission_process_en
how to apply,course_admission_process_en
admission procedure,course_admission_process_en
steps to get enrolled,course_admission_process_en
how do i register for this college,course_admission_process_en
guide me through the application,course_admission_process_en
What is course fee structure details?,course_fee_structure_en
how much is the fees,course_fee_structure_en
what is the total cost,course_fee_structure_en
tell me the tuition fee,course_fee_structure_en
how much do i have to pay per semester,course_fee_structure_en
give me the fee breakdown,course_fee_structure_en
Is course suitable beginners background students?,course_beginner_friendly_en
im a beginner can i join,course_beginner_friendly_en
do i need prior knowledge for this,course_beginner_friendly_en
can a fresher take this class,course_beginner_friendly_en
is it hard for someone with no background,course_beginner_friendly_en
What is course industry relevance scope?,course_industry_scope_en
job scope for this course,course_industry_scope_en
will i get a job after this,course_industry_scope_en
what are the career options,course_industry_scope_en
is this degree demanded in the market,course_industry_scope_en
future prospects of this program,course_industry_scope_en
What is assignment submission deadline policy?,assignment_deadline_en
assignment due date,assignment_deadline_en
when should i submit the assignment,assignment_deadline_en
what is the last date to upload assignments,assignment_deadline_en
deadline for project submission,assignment_deadline_en
How to upload assignment online portal?,assignment_upload_portal_en
where to submit assignment online,assignment_upload_portal_en
how to attach my homework,assignment_upload_portal_en
steps to upload pdf on lms,assignment_upload_portal_en
